base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2710,FLIXBUS-us,FlixBus 2710,Ottawa - Toronto - London,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1161,FLIXBUS-us,FlixBus US1161,Dallas - San Antonio - Laredo,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2415,FLIXBUS-us,FlixBus N2415,Atlanta - Gainesville - Orlando,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2411,FLIXBUS-us,FlixBus N2411,Tampa - Orlando - Miami,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0650s,GREYHOUND-us,Greyhound US0650s,Raleigh - Asheville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1114,FLIXBUS-us,FlixBus US1114,Laredo - San Antonio - Houston,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0175s,GREYHOUND-us,Greyhound US0175s,Kansas City - Columbia - St Louis,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0440s,GREYHOUND-us,Greyhound US0440s,Pittsburgh - Erie,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1142s,GREYHOUND-us,Greyhound US1142s,Dallas - Oklahoma City,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1210,GREYHOUND-us,Greyhound US1210,St Louis - Albuquerque - Los Angeles,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2548,FLIXBUS-us,FlixBus 2548,Chicago - Milwaukee - Minneapolis,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0602,GREYHOUND-us,Greyhound US0602,Atlanta - New Orleans - Houston,,3,,004963,FFFFFF,,,,
